"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.	"Wir haben jetzt vier Monate alte Mäuse, die nicht-diabetisch sind, die früher Diabetiker waren", fügte er hinzu.	"We now have 4 months old mice who had diabetes and now have no more," he added.
Hershey and Chase used phages, or viruses, to implant their own DNA into a bacterium.	Hershey und Chase benutzten Phagen oder Viren, um ihre eigene DNA in ein Bakterium einzubauen.	Hershey und Chase benutzten Phagen oder Viren, um ihre eigene DNA in ein Bakterium einzupflanzen.	Hershey and Chase used phages or viruses to incorporate their own DNA into a bacterium.
They did two experiments marking either the DNA in the phage with a radioactive phosphorus or the protein of the phage with radioactive sulfur.	Sie nahmen zwei Experimente vor, bei denen sie entweder die DNA des Phagen mit radioaktiven Phosphor oder ein Protein im Phagen mit radioaktiven Schwefel markierten.	Sie machten zwei Experimente, die entweder die DNA im Phage mit einem radioaktiven Phosphor oder das Protein des Phage mit radioaktivem Schwefel markierten.	They did two experiments in which they marked either the DNA of the phage with radioactive phosphorus or a protein in the phage with radioactive sulfur.
Mutations can have a variety of different effects depending on the type of mutation, the significance of the piece of genetic material affected and whether the cells affected are germ-line cells.	Mutationen können verschiedenste Auswirkungen haben, je nachdem, um welche Art von Mutation es sich handelt, welche Bedeutung das betreffende Stück genetischen Materials hat und ob es sich bei den betreffenden Zellen um Keimbahnzellen handelt.	Mutationen können unterschiedliche Wirkungen haben, je nach Art der Mutation, der Bedeutung des betroffenen genetischen Materials und ob die betroffenen Zellen Keimlinienzellen sind.	Mutations can have a variety of effects depending on the type of mutation involved, the importance of the genetic material in question, and whether the cells concerned are germ cells.
Only mutations in germ-line cells can be passed on to children, while mutations elsewhere can cause cell-death or cancer.	Nur Mutationen in Keimbahnzellen können an Kinder weitergegeben werden, während Mutationen anderswo zum Zelltod oder zu Krebs führen können.	Nur Mutationen in Keimzellen können an Kinder weitergegeben werden, während Mutationen anderswo Zelltod oder Krebs verursachen können.	Only mutations in germ cells can be passed on to children, while mutations elsewhere can lead to cell death or cancer.
Nature-based tourism attracts people interested in visiting natural areas for the purpose of enjoying the scenery, including plant and animal wildlife.	Naturnaher Tourismus zieht Leute an, die daran interessiert sind, Naturgebiete zu besuchen, um die Landschaft zu genießen, einschließlich der wilden Pflanzen und Tiere.	Naturbasierter Tourismus zieht Menschen an, die an einem Besuch von Naturgebieten interessiert sind, um die Landschaft, einschließlich Pflanzen- und Tierwelt, zu genießen.	Near-natural tourism attracts people who are interested in visiting nature areas to enjoy the landscape, including wild plants and animals.
Examples of on-site activities include hunting, fishing, photography, bird watching, and visiting parks and studying information about the ecosystem.	Beispiele für Aktivitäten vor Ort sind Jagen, Angeln, Fotografie, Vogelbeobachtung, der Besuch von Parks und das Lernen von Informationen über das Ökosystem.	Beispiele für Aktivitäten vor Ort sind Jagd, Angeln, Fotografie, Vogelbeobachtung und Besuch von Parks und das Studium von Informationen über das Ökosystem.	Examples of local activities include hunting, fishing, photography, bird watching, visiting parks and learning about the ecosystem.
An example is visiting, photographing, and learning about organgatuangs in Borneo.	Ein Beispiel dafür ist der Besuch, das Fotografieren und das Studieren von Orangutangs in Borneo.	Ein Beispiel ist der Besuch, das Fotografieren und das Lernen von Organgatuangs in Borneo.	One example is the visit, photography and study of Orangutangs in Borneo.
Every morning, people leave small country towns in cars to go their workplace and are passed by others whose work destination is the place they have just left.	Jeden Morgen verlassen Menschen kleine Provinzstädte mit dem Auto, um zu ihrem Arbeitsplatz zu fahren und werden von anderen passiert, deren Arbeitsstelle an dem Ort ist, den sie gerade verlassen haben.	Jeden Morgen verlassen Menschen kleine Landstädte in Autos, um ihren Arbeitsplatz zu gehen und werden von anderen, deren Arbeitsziel ist der Ort, den sie gerade verlassen haben, übergeben.	Every morning people leave small provincial cities by car to go to their workplace and are passed by others whose job is in the place they have just left.
In this dynamic transport shuttle everyone is somehow connected with, and supporting, a transport system based on private cars.	In diesem dynamischen Pendelverkehr sind alle in gewisser Weise mit einem Transportsystem verbunden, das auf dem privaten Pkw basiert, und unterstützen es.	In diesem dynamischen Transport-Shuttle ist jeder irgendwie mit einem Transportsystem verbunden und unterstützt, das auf privaten Autos basiert.	In this dynamic commuting, everyone is in some way connected to and supported by a transport system based on private cars.
Science now indicates that this massive carbon economy has dislodged the biosphere from one of its stable states that has supported human evolution for the past two million years.	Die Wissenschaft weist nun darauf hin, dass diese massive Kohlenstoffwirtschaft die Biosphäre aus einem ihrer stabilen Zustände, der die menschliche Evolution in den letzten zwei Millionen Jahren getragen hat, herausgebracht hat.	Die Wissenschaft deutet nun darauf hin, dass diese massive Kohlenstoffwirtschaft die Biosphäre von einem ihrer stabilen Staaten verdrängt hat, die die menschliche Evolution seit zwei Millionen Jahren unterstützt haben.	Science now points out that this massive carbon economy has brought the biosphere out of one of its stable states, which has supported human evolution in the last two million years.
Everyone participates in society and uses transportation systems. Almost everyone complains about transportation systems.	Jeder nimmt an der Gesellschaft teil und benutzt Transportsysteme. Fast jeder beklagt sich über die Transportsysteme.x	Jeder beteiligt sich an der Gesellschaft und nutzt Transportsysteme. Fast jeder beschwert sich über Transportsysteme.	Everyone participates in society and uses transport systems. Almost everyone complains about the transport systems.x
In developed countries you seldom hear similar levels of complaints about water quality or bridges falling down.	In entwickelten Ländern werden Sie selten ähnlich viele Beschwerden über die Wasserqualität oder den Einsturz von Brücken hören.	In Industrieländern hört man selten ähnliche Beschwerden über Wasserqualität oder herunterfallende Brücken.	In developed countries, you will rarely hear similar complaints about water quality or the collapse of bridges.
Why do transportation systems engender such complaints, why do they fail on a daily basis? Are transportation engineers just incompetent? Or is something more fundamental going on?	Warum führen Transportsysteme zu solchen Missständen, warum versagen sie tagtäglich? Sind Verkehrsingenieure einfach nur inkompetent? Oder läuft hier etwas Fundamentaleres ab?	Warum verursachen Transportsysteme solche Beschwerden, warum scheitern sie täglich? Sind Verkehrsingenieure nur inkompetent? Oder ist etwas Grundlegenderes los?	Why do transport systems lead to such abuses, why do they fail every day? Are traffic engineers simply incompetent? Or is something more fundamental going on here?
Traffic Flow is the study of the movement of individual drivers and vehicles between two points and the interactions they make with one another.	Verkehrsfluss ist die Untersuchung der Bewegung einzelner Fahrer und Fahrzeuge zwischen zwei Punkten und der Interaktionen, die zwischen beiden stattfinden.	Traffic Flow ist die Untersuchung der Bewegung einzelner Fahrer und Fahrzeuge zwischen zwei Punkten und den Wechselwirkungen, die sie miteinander machen.	Traffic flow is an investigation of the movement of individual drivers and vehicles between two points and the interactions that take place between them.
Unfortunately, studying traffic flow is difficult because driver behavior cannot be predicted with one-hundred percent certainty.	Leider fällt das Studium von Verkehrsflüssen schwer, da man Fahrerverhalten nicht mit hundertprozentiger Sicherheit voraussagen kann.	Leider ist das Studium des Verkehrsflusses schwierig, weil das Verhalten des Fahrers nicht mit hundertprozentiger Sicherheit vorhergesagt werden kann.	Unfortunately, the study of traffic flows is difficult, because one cannot predict driver behaviour with 100% certainty.
Fortunately, drivers tend to behave within a reasonably consistent range; thus, traffic streams tend to have some reasonable consistency and can be roughly represented mathematically.	Glücklicherweise neigen Autofahrer dazu, sich einigermaßen konsistent zu verhalten; daher haben Verkehrsströme eine gewisse Konstanz und lassen sich mathematisch grob darstellen.	Glücklicherweise verhalten sich die Fahrer meist in einem einigermaßen konsistenten Bereich, so dass Verkehrsströme eine gewisse vernünftige Konsistenz aufweisen und grob mathematisch dargestellt werden können.	Fortunately, drivers tend to be somewhat consistent; therefore, traffic flows have a certain consistency and can be mathematically roughly represented.
To better represent traffic flow, relationships have been established between the three main characteristics: (1) flow, (2) density, and (3) velocity.	Um den Verkehrsfluss besser darzustellen, wurden die Zusammenhänge zwischen den drei wichtigsten Eigenschaften definiert: (1) Fluss, (2) Dichte und (3) Geschwindigkeit.	Um den Verkehrsfluss besser darzustellen, wurden Beziehungen zwischen den drei Hauptmerkmalen (1) Strömung, (2) Dichte und (3) Geschwindigkeit hergestellt.	In order to better represent the flow of traffic, the relationships between the three main characteristics were defined: (1) river, (2) density and (3) speed.
These relationships help in planning, design, and operations of roadway facilities.	Diese Beziehungen helfen bei der Planung, der Gestaltung und dem Betrieb von Einrichtungen an der Fahrbahn.	Diese Beziehungen helfen bei der Planung, Planung und dem Betrieb von Fahrwegeinrichtungen.	These relationships help in the planning, design and operation of facilities on the road.
